repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
supabase/supabase,42384,dshukertjr,joshenlim,15.6,3,20,42,0.98,37,Core Reviewer
supabase/supabase,42382,joshenlim,alaister,0.38,3,31,682,0.96,696,Core Reviewer
supabase/supabase,42380,joshenlim,alaister,1.67,3,64,682,0.96,696,Core Reviewer
supabase/supabase,42379,ChrisChinchilla,coderabbitai,0.21,6,4076,68,0.93,311,Core Reviewer
supabase/supabase,42378,joshenlim,coderabbitai,0.12,4,422,682,0.96,696,Core Reviewer
supabase/supabase,42377,kevcodez,coderabbitai,0.22,8,911,148,0.97,137,Core Reviewer
supabase/supabase,42374,SaxonF,snyk-io,0.01,15,3238,207,0.87,52,Core Reviewer
supabase/supabase,42373,SaxonF,snyk-io,0.01,14,5217,207,0.87,52,Core Reviewer
supabase/supabase,42372,ana1337x,CoolAssPuppy,2.02,2,0,10,0.8,1,Reliable Author
supabase/supabase,42370,ana1337x,pamelachia,25.74,2,2,10,0.8,1,Reliable Author
supabase/supabase,42369,TheOtherBrian1,coderabbitai,0.07,6,280,24,0.92,2,Reliable Author
supabase/supabase,42368,ChrisChinchilla,coderabbitai,0.18,9,410,68,0.93,311,Core Reviewer
supabase/supabase,42367,SaxonF,coderabbitai,0.14,11,510,207,0.87,52,Core Reviewer
supabase/supabase,42365,ana1337x,CoolAssPuppy,0.07,3,43,10,0.8,1,Reliable Author
supabase/supabase,42351,supabase-supabase-autofixer,awaseem,14.43,3,20,0,0.0,0,Novice
supabase/supabase,42350,kallebysantos,coderabbitai,0.09,5,106,19,0.74,7,Core Reviewer
supabase/supabase,42349,kallebysantos,coderabbitai,0.14,5,51688,19,0.74,7,Core Reviewer
supabase/supabase,42338,jonathan-fulton,ChrisChinchilla,301.68,2,6,10,0.2,0,Noisy Author
supabase/supabase,42336,fsansalvadore,coderabbitai,0.08,6,159,163,0.87,139,Core Reviewer
supabase/supabase,42335,Ellba,coderabbitai,0.09,9,151,14,0.93,3,Reliable Author
supabase/supabase,42334,Ellba,coderabbitai,0.09,6,125,14,0.93,3,Reliable Author
supabase/supabase,42333,Ellba,ivasilov,2.6,3,6,14,0.93,3,Reliable Author
supabase/supabase,42325,charislam,awaseem,1.34,3,183,366,0.92,846,Core Reviewer
supabase/supabase,42324,charislam,awaseem,0.3,3,108,366,0.92,846,Core Reviewer
supabase/supabase,42322,kallebysantos,coderabbitai,0.16,3,523,19,0.74,7,Core Reviewer
supabase/supabase,42321,joshenlim,coderabbitai,0.11,11,365,682,0.96,696,Core Reviewer
supabase/supabase,42320,awaseem,coderabbitai,0.15,6,83,140,0.91,257,Core Reviewer
supabase/supabase,42314,CoolAssPuppy,filipecabaco,0.02,4,1399,45,0.96,110,Core Reviewer
supabase/supabase,42313,soedirgo,coderabbitai,218.47,7,1305,21,0.86,35,Core Reviewer
supabase/supabase,42309,dnywh,stylessh,11.63,3,16,145,0.89,64,Core Reviewer
supabase/supabase,42308,alaister,charislam,15.18,3,49,162,0.96,723,Core Reviewer
supabase/supabase,42307,joshenlim,alaister,0.62,3,33,682,0.96,696,Core Reviewer
supabase/supabase,42306,joshenlim,alaister,0.66,3,17,682,0.96,696,Core Reviewer
supabase/supabase,42305,HunterLuckow,alaister,1.32,3,1,1,1.0,0,Novice
supabase/supabase,42303,CoolAssPuppy,coderabbitai,0.05,5,16,45,0.96,110,Core Reviewer
supabase/supabase,42295,ajsupa,alaister,10.78,3,1,1,1.0,0,Novice
supabase/supabase,42293,charislam,coderabbitai,0.54,6,33,366,0.92,846,Core Reviewer
supabase/supabase,42292,joshenlim,alaister,0.06,3,10,682,0.96,696,Core Reviewer
supabase/supabase,42291,joshenlim,alaister,0.44,5,251,682,0.96,696,Core Reviewer
supabase/supabase,42290,awaseem,joshenlim,0.03,4,240,140,0.91,257,Core Reviewer
supabase/supabase,42288,awaseem,coderabbitai,0.23,7,2052,140,0.91,257,Core Reviewer
supabase/supabase,42285,supabase-supabase-autofixer,ChrisChinchilla,59.26,3,17628,0,0.0,0,Novice
supabase/supabase,42283,joshenlim,alaister,0.73,5,240,682,0.96,696,Core Reviewer
supabase/supabase,42281,joshenlim,coderabbitai,0.2,11,538,682,0.96,696,Core Reviewer
supabase/supabase,42280,eyalehrlich-wq,theccres,1.42,3,1,1,1.0,0,Novice
supabase/supabase,42279,ChrisChinchilla,mandarini,0.28,3,2295,68,0.93,311,Core Reviewer
supabase/supabase,42277,joshenlim,ivasilov,2.8,4,32,682,0.96,696,Core Reviewer
supabase/supabase,42274,joshenlim,coderabbitai,0.11,4,85,682,0.96,696,Core Reviewer
supabase/supabase,42273,alaister,coderabbitai,0.11,4,23,162,0.96,723,Core Reviewer
supabase/supabase,42272,dnywh,coderabbitai,0.1,6,386,145,0.89,64,Core Reviewer
supabase/supabase,42271,darora,Crispy1975,0.01,4,27,10,0.9,10,Core Reviewer
supabase/supabase,42269,ChrisChinchilla,coderabbitai,0.18,5,1057,68,0.93,311,Core Reviewer
supabase/supabase,42266,charislam,coderabbitai,0.05,4,235,366,0.92,846,Core Reviewer
supabase/supabase,42261,davidbirdsong,haritabh17,65.54,3,1,1,1.0,0,Novice
supabase/supabase,42260,CoolAssPuppy,coderabbitai,0.14,6,1077,45,0.96,110,Core Reviewer
supabase/supabase,42259,seanoliver,coderabbitai,0.08,27,1737,38,0.76,19,Core Reviewer
supabase/supabase,42255,jordienr,coderabbitai,17.68,4,527,277,0.83,266,Core Reviewer
supabase/supabase,42254,monicakh,kemaldotearth,0.06,6,108,24,0.96,6,Core Reviewer
