repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,65830,anastasiiauk,nieldakarla,8.73,8.73,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65829,camperbot,majestic-owl448,0.77,0.82,APPROVED,0.0,1,636,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65827,nguyenduybao1,majestic-owl448,1.5,1.96,APPROVED,0.0,2,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65821,anastasiiauk,nieldakarla,11.25,11.26,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65817,scissorsneedfoodtoo,raisedadead,19.95,19.95,APPROVED,0.0,1,4,35,1.0,14,Core Reviewer
freeCodeCamp/freeCodeCamp,65814,camperbot,moT01,6.58,6.58,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65813,estefaniacn,nieldakarla,0.05,1.23,APPROVED,0.0,1,12,50,0.96,14,Core Reviewer
freeCodeCamp/freeCodeCamp,65812,nieldakarla,DanielRosa74,0.04,0.54,APPROVED,0.0,2,60,41,0.88,194,Core Reviewer
freeCodeCamp/freeCodeCamp,65811,majestic-owl448,Dario-DC,18.06,341.14,COMMENTED,0.0098,6,204,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65808,AdityaSingh-18,huyenltnguyen,3.68,3.69,APPROVED,0.0,1,9,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65807,anastasiiauk,nieldakarla,31.47,31.47,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65803,anastasiiauk,nieldakarla,35.59,35.59,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65802,scissorsneedfoodtoo,huyenltnguyen,4.97,4.98,APPROVED,0.0,1,2,35,1.0,14,Core Reviewer
freeCodeCamp/freeCodeCamp,65801,AdityaSingh-18,majestic-owl448,3.53,57.98,COMMENTED,0.25,7,8,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65799,scissorsneedfoodtoo,majestic-owl448,4.18,4.18,APPROVED,0.0,1,2,35,1.0,14,Core Reviewer
freeCodeCamp/freeCodeCamp,65790,estefaniacn,nieldakarla,0.47,0.67,APPROVED,0.0,1,1,50,0.96,14,Core Reviewer
freeCodeCamp/freeCodeCamp,65788,camperbot,majestic-owl448,7.79,7.79,APPROVED,0.0,1,150,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65782,anastasiiauk,nieldakarla,57.76,57.76,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65779,anastasiiauk,nieldakarla,59.86,59.86,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65770,AdityaSingh-18,majestic-owl448,0.0,21.04,COMMENTED,0.5,4,2,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65768,AdityaSingh-18,zairahira,168.99,292.85,APPROVED,0.0,4,12,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65767,AdityaSingh-18,majestic-owl448,0.0,22.23,APPROVED,0.0,1,2,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65764,Sukruthr,gikf,0.12,3.36,APPROVED,0.0,2,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65753,FBID10,huyenltnguyen,19.02,67.47,APPROVED,0.0,3,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65752,Jeevankumar-s,majestic-owl448,37.34,163.89,COMMENTED,0.0541,10,37,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65751,SilentDeath53,Dario-DC,37.27,85.68,APPROVED,0.0,3,4,7,0.29,0,Noisy Author
freeCodeCamp/freeCodeCamp,65750,SilentDeath53,majestic-owl448,13.33,135.96,CHANGES_REQUESTED,0.0,7,2,7,0.29,0,Noisy Author
freeCodeCamp/freeCodeCamp,65748,Jeevankumar-s,majestic-owl448,13.51,132.92,COMMENTED,0.25,2,4,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65744,Jeevankumar-s,Dario-DC,1.24,1.28,APPROVED,0.0,3,88,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65739,Jeevankumar-s,majestic-owl448,50.61,114.37,COMMENTED,0.125,7,32,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65737,anastasiiauk,nieldakarla,78.91,126.91,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65736,ojeytonwilliams,raisedadead,25.01,93.35,COMMENTED,0.0,5,79,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65735,anastasiiauk,nieldakarla,80.72,128.72,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65734,ojeytonwilliams,raisedadead,0.52,0.52,APPROVED,0.0,1,121,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65732,anastasiiauk,nieldakarla,82.52,130.53,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65729,Sembauke,ojeytonwilliams,37.95,141.94,DISMISSED,0.0002,11,9844,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,65727,huyenltnguyen,ojeytonwilliams,204.39,300.39,APPROVED,0.0,1,55,272,0.88,1490,Core Reviewer
freeCodeCamp/freeCodeCamp,65725,bengguankoay,majestic-owl448,1.99,88.98,COMMENTED,0.0946,11,74,7,0.71,0,Noisy Author
freeCodeCamp/freeCodeCamp,65722,Sembauke,raisedadead,1.44,121.67,APPROVED,0.0,5,186,242,0.78,923,Core Reviewer
